SKU,Title,Description,UOM,Unit Price,Qty Available,Active,Attributes JSON,Last Updated
PAPER-SRA3-160-OFFSET-M,SRA3 Offset 160 gsm,"Bright White offset paper, SRA3, 160 gsm, for office and print.",box,41.8,348,True,"{""size"": ""SRA3"", ""gsm"": 160, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-05-28T14:43:16
PAPER-A3-140-COATEDGLOSS-J,A3 Coated Gloss 140 gsm,"Recycled coated gloss paper, A3, 140 gsm, for office and print.",box,36.74,279,True,"{""size"": ""A3"", ""gsm"": 140, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-09-20T06:00:24
PAPER-A4-160-UNCOATED,A4 Uncoated 160 gsm,"Bright White uncoated paper, A4, 160 gsm, for office and print.",ream,6.9,375,True,"{""size"": ""A4"", ""gsm"": 160, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-08-18T23:53:42
PAPER-A4-300-OFFSET-Y,A4 Offset 300 gsm,"Bright White offset paper, A4, 300 gsm, for office and print.",ream,9.57,460,True,"{""size"": ""A4"", ""gsm"": 300, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-08-24T02:03:34
PAPER-SRA3-250-CARDSTOCK,SRA3 Cardstock 250 gsm,"Ivory cardstock paper, SRA3, 250 gsm, for office and print.",ream,12.73,682,True,"{""size"": ""SRA3"", ""gsm"": 250, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-09-23T00:16:01
PAPER-A5-160-COPY-E,A5 Copy 160 gsm,"Bright White copy paper, A5, 160 gsm, for office and print.",ream,5.49,426,True,"{""size"": ""A5"", ""gsm"": 160, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-06-02T14:54:13
PAPER-SRA3-100-COATEDGLOSS,SRA3 Coated Gloss 100 gsm,"Bright White coated gloss paper, SRA3, 100 gsm, for office and print.",box,34.33,438,True,"{""size"": ""SRA3"", ""gsm"": 100, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-09-08T02:00:54
PAPER-A3-250-CARDSTOCK,A3 Cardstock 250 gsm,"Bright White cardstock paper, A3, 250 gsm, for office and print.",pallet,672.15,8,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-10-02T22:38:33
PAPER-A4-300-COPY,A4 Copy 300 gsm,"Bright White copy paper, A4, 300 gsm, for office and print.",roll,54.8,112,True,"{""size"": ""A4"", ""gsm"": 300, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-05-20T04:19:59
PAPER-A4-300-COATEDGLOSS-Z,A4 Coated Gloss 300 gsm,"White coated gloss paper, A4, 300 gsm, for office and print.",ream,9.25,396,True,"{""size"": ""A4"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-08-12T17:28:46
PAPER-A4-170-COATEDMATTE,A4 Coated Matte 170 gsm,"Ivory coated matte paper, A4, 170 gsm, for office and print.",ream,6.67,409,True,"{""size"": ""A4"", ""gsm"": 170, ""finish"": ""Coated Matte"", ""color"": ""Ivory""}",2025-09-29T20:56:52
PAPER-SRA3-200-OFFSET,SRA3 Offset 200 gsm,"Ivory offset paper, SRA3, 200 gsm, for office and print.",ream,11.03,769,True,"{""size"": ""SRA3"", ""gsm"": 200, ""finish"": ""Offset"", ""color"": ""Ivory""}",2025-04-27T05:07:07
PAPER-A3-250-UNCOATED-L,A3 Uncoated 250 gsm,"Ivory uncoated paper, A3, 250 gsm, for office and print.",ream,12.09,371,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Uncoated"", ""color"": ""Ivory""}",2025-08-10T21:17:06
PAPER-SRA3-100-OFFSET,SRA3 Offset 100 gsm,"Bright White offset paper, SRA3, 100 gsm, for office and print.",pallet,550.4,65,True,"{""size"": ""SRA3"", ""gsm"": 100, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-07-25T09:06:27
PAPER-A3-300-COATEDGLOSS,A3 Coated Gloss 300 gsm,"White coated gloss paper, A3, 300 gsm, for office and print.",roll,65.09,394,True,"{""size"": ""A3"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-09-15T13:57:54
PAPER-A2-300-COATEDMATTE,A2 Coated Matte 300 gsm,"Recycled coated matte paper, A2, 300 gsm, for office and print.",box,77.58,224,True,"{""size"": ""A2"", ""gsm"": 300, ""finish"": ""Coated Matte"", ""color"": ""Recycled""}",2025-06-20T11:21:28
PAPER-A4-200-COATEDGLOSS,A4 Coated Gloss 200 gsm,"Ivory coated gloss paper, A4, 200 gsm, for office and print.",box,35.26,571,True,"{""size"": ""A4"", ""gsm"": 200, ""finish"": ""Coated Gloss"", ""color"": ""Ivory""}",2025-07-13T04:13:45
PAPER-A5-200-COATEDGLOSS-J,A5 Coated Gloss 200 gsm,"Ivory coated gloss paper, A5, 200 gsm, for office and print.",ream,5.89,512,True,"{""size"": ""A5"", ""gsm"": 200, ""finish"": ""Coated Gloss"", ""color"": ""Ivory""}",2025-06-14T16:59:28
PAPER-A2-120-UNCOATED,A2 Uncoated 120 gsm,"Recycled uncoated paper, A2, 120 gsm, for office and print.",box,41.64,518,True,"{""size"": ""A2"", ""gsm"": 120, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-08-25T22:55:30
PAPER-A3-75-COATEDMATTE,A3 Coated Matte 75 gsm,"White coated matte paper, A3, 75 gsm, for office and print.",ream,6.47,263,True,"{""size"": ""A3"", ""gsm"": 75, ""finish"": ""Coated Matte"", ""color"": ""White""}",2025-10-14T02:38:55
PAPER-A2-120-COPY,A2 Copy 120 gsm,"Bright White copy paper, A2, 120 gsm, for office and print.",ream,9.68,610,True,"{""size"": ""A2"", ""gsm"": 120, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-10-13T21:43:28
PAPER-A2-140-CARDSTOCK,A2 Cardstock 140 gsm,"Recycled cardstock paper, A2, 140 gsm, for office and print.",ream,10.41,189,False,"{""size"": ""A2"", ""gsm"": 140, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-09-15T00:07:18
PAPER-A2-90-CARDSTOCK-O,A2 Cardstock 90 gsm,"White cardstock paper, A2, 90 gsm, for office and print.",box,37.27,488,True,"{""size"": ""A2"", ""gsm"": 90, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-08-06T16:25:38
PAPER-A4-70-COPY,A4 Copy 70 gsm,"Recycled copy paper, A4, 70 gsm, for office and print.",sheet,0.1835,728,True,"{""size"": ""A4"", ""gsm"": 70, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-09-08T17:07:07
PAPER-SRA3-160-COATEDGLOSS,SRA3 Coated Gloss 160 gsm,"Bright White coated gloss paper, SRA3, 160 gsm, for office and print.",box,43.14,251,True,"{""size"": ""SRA3"", ""gsm"": 160, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-10-08T15:47:04
PAPER-SRA3-200-COATEDMATTE,SRA3 Coated Matte 200 gsm,"Recycled coated matte paper, SRA3, 200 gsm, for office and print.",ream,11.13,315,True,"{""size"": ""SRA3"", ""gsm"": 200, ""finish"": ""Coated Matte"", ""color"": ""Recycled""}",2025-06-24T01:23:03
PAPER-A5-250-COATEDGLOSS-I,A5 Coated Gloss 250 gsm,"Recycled coated gloss paper, A5, 250 gsm, for office and print.",ream,6.37,414,True,"{""size"": ""A5"", ""gsm"": 250, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-08-18T15:31:01
PAPER-A4-250-CARDSTOCK,A4 Cardstock 250 gsm,"White cardstock paper, A4, 250 gsm, for office and print.",ream,8.5,324,True,"{""size"": ""A4"", ""gsm"": 250, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-09-15T19:39:02
PAPER-A5-170-OFFSET,A5 Offset 170 gsm,"Ivory offset paper, A5, 170 gsm, for office and print.",box,25.74,167,True,"{""size"": ""A5"", ""gsm"": 170, ""finish"": ""Offset"", ""color"": ""Ivory""}",2025-09-23T12:16:57
PAPER-A3-80-OFFSET,A3 Offset 80 gsm,"Recycled offset paper, A3, 80 gsm, for office and print.",box,27.51,410,True,"{""size"": ""A3"", ""gsm"": 80, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-05-27T12:43:13
PAPER-A3-90-UNCOATED,A3 Uncoated 90 gsm,"Recycled uncoated paper, A3, 90 gsm, for office and print.",ream,6.32,240,True,"{""size"": ""A3"", ""gsm"": 90, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-08-10T07:20:01
PAPER-A5-300-COPY,A5 Copy 300 gsm,"Bright White copy paper, A5, 300 gsm, for office and print.",ream,7.13,471,True,"{""size"": ""A5"", ""gsm"": 300, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-08-18T06:31:25
PAPER-A4-200-COPY,A4 Copy 200 gsm,"Recycled copy paper, A4, 200 gsm, for office and print.",ream,8.07,262,True,"{""size"": ""A4"", ""gsm"": 200, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-08-25T02:48:06
PAPER-SRA3-250-COPY,SRA3 Copy 250 gsm,"Bright White copy paper, SRA3, 250 gsm, for office and print.",box,56.11,632,True,"{""size"": ""SRA3"", ""gsm"": 250, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-07-16T10:19:36
PAPER-A4-75-OFFSET,A4 Offset 75 gsm,"Recycled offset paper, A4, 75 gsm, for office and print.",box,24.46,282,True,"{""size"": ""A4"", ""gsm"": 75, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-07-31T09:55:47
PAPER-A2-100-COATEDMATTE-W,A2 Coated Matte 100 gsm,"Bright White coated matte paper, A2, 100 gsm, for office and print.",ream,8.3,351,True,"{""size"": ""A2"", ""gsm"": 100, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-09-12T20:00:29
PAPER-SRA3-160-OFFSET-O,SRA3 Offset 160 gsm,"Bright White offset paper, SRA3, 160 gsm, for office and print.",ream,9.64,522,True,"{""size"": ""SRA3"", ""gsm"": 160, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-07-14T03:43:02
PAPER-A3-250-COATEDGLOSS,A3 Coated Gloss 250 gsm,"Recycled coated gloss paper, A3, 250 gsm, for office and print.",pallet,711.21,0,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-05-17T15:17:14
PAPER-A5-140-COPY,A5 Copy 140 gsm,"Recycled copy paper, A5, 140 gsm, for office and print.",box,25.11,434,True,"{""size"": ""A5"", ""gsm"": 140, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-09-15T08:37:46
PAPER-A3-250-COPY-V,A3 Copy 250 gsm,"Bright White copy paper, A3, 250 gsm, for office and print.",ream,12.05,596,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-05-07T22:39:06
PAPER-A2-100-COATEDGLOSS,A2 Coated Gloss 100 gsm,"White coated gloss paper, A2, 100 gsm, for office and print.",box,37.53,158,True,"{""size"": ""A2"", ""gsm"": 100, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-06-20T16:07:10
PAPER-A3-170-COATEDGLOSS,A3 Coated Gloss 170 gsm,"White coated gloss paper, A3, 170 gsm, for office and print.",box,40.2,427,True,"{""size"": ""A3"", ""gsm"": 170, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-09-15T10:48:56
PAPER-A2-250-CARDSTOCK-V,A2 Cardstock 250 gsm,"White cardstock paper, A2, 250 gsm, for office and print.",box,69.07,438,True,"{""size"": ""A2"", ""gsm"": 250, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-06-09T22:07:44
PAPER-A3-120-COATEDGLOSS,A3 Coated Gloss 120 gsm,"White coated gloss paper, A3, 120 gsm, for office and print.",ream,7.17,517,True,"{""size"": ""A3"", ""gsm"": 120, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-05-11T17:20:41
PAPER-A5-75-CARDSTOCK,A5 Cardstock 75 gsm,"Ivory cardstock paper, A5, 75 gsm, for office and print.",ream,4.51,214,True,"{""size"": ""A5"", ""gsm"": 75, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-07-12T23:59:23
PAPER-A2-200-COPY,A2 Copy 200 gsm,"White copy paper, A2, 200 gsm, for office and print.",ream,13.88,201,True,"{""size"": ""A2"", ""gsm"": 200, ""finish"": ""Copy"", ""color"": ""White""}",2025-05-14T22:05:11
PAPER-SRA3-250-COATEDMATTE,SRA3 Coated Matte 250 gsm,"Bright White coated matte paper, SRA3, 250 gsm, for office and print.",box,56.04,478,True,"{""size"": ""SRA3"", ""gsm"": 250, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-09-02T16:19:24
PAPER-A3-140-COPY,A3 Copy 140 gsm,"Recycled copy paper, A3, 140 gsm, for office and print.",box,36.4,444,True,"{""size"": ""A3"", ""gsm"": 140, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-07-11T13:49:58
PAPER-A4-140-UNCOATED,A4 Uncoated 140 gsm,"White uncoated paper, A4, 140 gsm, for office and print.",ream,6.27,437,True,"{""size"": ""A4"", ""gsm"": 140, ""finish"": ""Uncoated"", ""color"": ""White""}",2025-05-29T21:28:57
PAPER-A3-120-COPY,A3 Copy 120 gsm,"White copy paper, A3, 120 gsm, for office and print.",ream,7.43,451,True,"{""size"": ""A3"", ""gsm"": 120, ""finish"": ""Copy"", ""color"": ""White""}",2025-09-07T20:33:27
PAPER-A2-170-CARDSTOCK,A2 Cardstock 170 gsm,"Recycled cardstock paper, A2, 170 gsm, for office and print.",ream,12.48,297,True,"{""size"": ""A2"", ""gsm"": 170, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-04-29T04:55:06
PAPER-A5-120-UNCOATED,A5 Uncoated 120 gsm,"Bright White uncoated paper, A5, 120 gsm, for office and print.",box,24.53,434,True,"{""size"": ""A5"", ""gsm"": 120, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-05-24T02:55:34
PAPER-A5-120-OFFSET,A5 Offset 120 gsm,"Bright White offset paper, A5, 120 gsm, for office and print.",box,25.06,443,True,"{""size"": ""A5"", ""gsm"": 120, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-05-21T21:02:17
PAPER-SRA3-200-COATEDMATTE-J,SRA3 Coated Matte 200 gsm,"White coated matte paper, SRA3, 200 gsm, for office and print.",ream,11.47,292,True,"{""size"": ""SRA3"", ""gsm"": 200, ""finish"": ""Coated Matte"", ""color"": ""White""}",2025-06-06T14:57:37
PAPER-A2-250-COPY-L,A2 Copy 250 gsm,"Ivory copy paper, A2, 250 gsm, for office and print.",pallet,826.07,299,True,"{""size"": ""A2"", ""gsm"": 250, ""finish"": ""Copy"", ""color"": ""Ivory""}",2025-10-06T17:33:24
PAPER-A4-75-OFFSET-T,A4 Offset 75 gsm,"Recycled offset paper, A4, 75 gsm, for office and print.",ream,4.84,471,True,"{""size"": ""A4"", ""gsm"": 75, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-05-13T18:37:44
PAPER-SRA3-160-UNCOATED,SRA3 Uncoated 160 gsm,"Bright White uncoated paper, SRA3, 160 gsm, for office and print.",box,43.53,221,True,"{""size"": ""SRA3"", ""gsm"": 160, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-09-30T23:56:49
PAPER-A3-80-COATEDMATTE,A3 Coated Matte 80 gsm,"White coated matte paper, A3, 80 gsm, for office and print.",ream,6.33,498,True,"{""size"": ""A3"", ""gsm"": 80, ""finish"": ""Coated Matte"", ""color"": ""White""}",2025-09-22T14:13:28
PAPER-A3-170-COPY,A3 Copy 170 gsm,"Recycled copy paper, A3, 170 gsm, for office and print.",ream,8.67,253,True,"{""size"": ""A3"", ""gsm"": 170, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-07-06T14:58:23
PAPER-A5-200-UNCOATED,A5 Uncoated 200 gsm,"Bright White uncoated paper, A5, 200 gsm, for office and print.",ream,6.1,518,True,"{""size"": ""A5"", ""gsm"": 200, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-05-05T04:33:13
PAPER-A2-250-OFFSET,A2 Offset 250 gsm,"Recycled offset paper, A2, 250 gsm, for office and print.",box,68.25,573,True,"{""size"": ""A2"", ""gsm"": 250, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-08-17T15:56:52
PAPER-A3-300-COPY,A3 Copy 300 gsm,"Ivory copy paper, A3, 300 gsm, for office and print.",ream,13.44,276,True,"{""size"": ""A3"", ""gsm"": 300, ""finish"": ""Copy"", ""color"": ""Ivory""}",2025-09-06T07:12:43
PAPER-A2-80-COATEDGLOSS,A2 Coated Gloss 80 gsm,"Recycled coated gloss paper, A2, 80 gsm, for office and print.",pallet,573.24,164,True,"{""size"": ""A2"", ""gsm"": 80, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-10-15T09:56:52
PAPER-A5-250-CARDSTOCK,A5 Cardstock 250 gsm,"Recycled cardstock paper, A5, 250 gsm, for office and print.",ream,6.29,461,True,"{""size"": ""A5"", ""gsm"": 250, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-07-05T21:21:15
PAPER-A2-80-COATEDGLOSS-E,A2 Coated Gloss 80 gsm,"White coated gloss paper, A2, 80 gsm, for office and print.",box,35.29,523,True,"{""size"": ""A2"", ""gsm"": 80, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-10-09T02:27:00
PAPER-A4-200-CARDSTOCK,A4 Cardstock 200 gsm,"White cardstock paper, A4, 200 gsm, for office and print.",ream,7.54,684,True,"{""size"": ""A4"", ""gsm"": 200, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-05-27T07:20:41
PAPER-A5-250-CARDSTOCK-A,A5 Cardstock 250 gsm,"Bright White cardstock paper, A5, 250 gsm, for office and print.",ream,6.53,363,True,"{""size"": ""A5"", ""gsm"": 250, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-06-18T00:37:17
PAPER-SRA3-90-OFFSET,SRA3 Offset 90 gsm,"Ivory offset paper, SRA3, 90 gsm, for office and print.",ream,6.89,286,True,"{""size"": ""SRA3"", ""gsm"": 90, ""finish"": ""Offset"", ""color"": ""Ivory""}",2025-09-01T07:49:54
PAPER-A2-70-CARDSTOCK,A2 Cardstock 70 gsm,"Recycled cardstock paper, A2, 70 gsm, for office and print.",pallet,572.08,0,True,"{""size"": ""A2"", ""gsm"": 70, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-06-02T18:05:12
PAPER-A4-300-UNCOATED,A4 Uncoated 300 gsm,"Ivory uncoated paper, A4, 300 gsm, for office and print.",box,41.11,277,True,"{""size"": ""A4"", ""gsm"": 300, ""finish"": ""Uncoated"", ""color"": ""Ivory""}",2025-06-24T04:21:08
PAPER-A2-100-CARDSTOCK-H,A2 Cardstock 100 gsm,"Bright White cardstock paper, A2, 100 gsm, for office and print.",ream,8.48,388,True,"{""size"": ""A2"", ""gsm"": 100, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-08-22T19:14:36
PAPER-A3-250-UNCOATED-J,A3 Uncoated 250 gsm,"Bright White uncoated paper, A3, 250 gsm, for office and print.",ream,11.9,451,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-08-09T18:04:47
PAPER-A4-200-OFFSET,A4 Offset 200 gsm,"Recycled offset paper, A4, 200 gsm, for office and print.",ream,7.63,441,True,"{""size"": ""A4"", ""gsm"": 200, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-05-21T06:57:47
PAPER-A5-100-COPY,A5 Copy 100 gsm,"Ivory copy paper, A5, 100 gsm, for office and print.",ream,5.21,524,True,"{""size"": ""A5"", ""gsm"": 100, ""finish"": ""Copy"", ""color"": ""Ivory""}",2025-08-13T15:31:07
PAPER-A4-160-COATEDGLOSS,A4 Coated Gloss 160 gsm,"White coated gloss paper, A4, 160 gsm, for office and print.",ream,6.76,401,True,"{""size"": ""A4"", ""gsm"": 160, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-07-31T15:09:02
PAPER-A3-90-COPY,A3 Copy 90 gsm,"Recycled copy paper, A3, 90 gsm, for office and print.",pallet,566.75,238,True,"{""size"": ""A3"", ""gsm"": 90, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-05-31T17:11:21
PAPER-A5-100-COATEDMATTE-P,A5 Coated Matte 100 gsm,"Ivory coated matte paper, A5, 100 gsm, for office and print.",box,22.92,360,False,"{""size"": ""A5"", ""gsm"": 100, ""finish"": ""Coated Matte"", ""color"": ""Ivory""}",2025-05-14T12:52:16
PAPER-A3-90-OFFSET,A3 Offset 90 gsm,"Bright White offset paper, A3, 90 gsm, for office and print.",ream,6.34,808,True,"{""size"": ""A3"", ""gsm"": 90, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-05-06T20:51:38
PAPER-SRA3-250-UNCOATED-P,SRA3 Uncoated 250 gsm,"Bright White uncoated paper, SRA3, 250 gsm, for office and print.",ream,13.24,493,False,"{""size"": ""SRA3"", ""gsm"": 250, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-09-03T09:06:58
PAPER-A4-300-OFFSET-T,A4 Offset 300 gsm,"Recycled offset paper, A4, 300 gsm, for office and print.",ream,9.52,271,True,"{""size"": ""A4"", ""gsm"": 300, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-06-10T15:17:47
PAPER-A2-120-COPY-P,A2 Copy 120 gsm,"White copy paper, A2, 120 gsm, for office and print.",ream,9.24,239,True,"{""size"": ""A2"", ""gsm"": 120, ""finish"": ""Copy"", ""color"": ""White""}",2025-07-28T21:24:52
PAPER-A5-120-COPY,A5 Copy 120 gsm,"Recycled copy paper, A5, 120 gsm, for office and print.",ream,5.23,472,True,"{""size"": ""A5"", ""gsm"": 120, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-09-20T00:17:09
PAPER-A4-70-COATEDGLOSS,A4 Coated Gloss 70 gsm,"Recycled coated gloss paper, A4, 70 gsm, for office and print.",box,23.04,366,True,"{""size"": ""A4"", ""gsm"": 70, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-08-21T05:36:08
PAPER-A4-80-COPY-G,A4 Copy 80 gsm,"Bright White copy paper, A4, 80 gsm, for office and print.",ream,4.84,507,True,"{""size"": ""A4"", ""gsm"": 80, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-05-04T23:40:11
PAPER-A3-170-COATEDMATTE-Y,A3 Coated Matte 170 gsm,"Bright White coated matte paper, A3, 170 gsm, for office and print.",ream,9.22,470,True,"{""size"": ""A3"", ""gsm"": 170, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-05-07T12:03:14
PAPER-A3-100-COPY,A3 Copy 100 gsm,"Recycled copy paper, A3, 100 gsm, for office and print.",ream,6.76,389,True,"{""size"": ""A3"", ""gsm"": 100, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-08-01T00:31:24
PAPER-A4-160-CARDSTOCK,A4 Cardstock 160 gsm,"Bright White cardstock paper, A4, 160 gsm, for office and print.",ream,7.12,272,True,"{""size"": ""A4"", ""gsm"": 160, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-05-16T03:38:06
PAPER-A5-140-UNCOATED,A5 Uncoated 140 gsm,"Ivory uncoated paper, A5, 140 gsm, for office and print.",ream,5.17,172,True,"{""size"": ""A5"", ""gsm"": 140, ""finish"": ""Uncoated"", ""color"": ""Ivory""}",2025-10-10T22:56:36
PAPER-A3-160-UNCOATED-O,A3 Uncoated 160 gsm,"Bright White uncoated paper, A3, 160 gsm, for office and print.",ream,8.64,333,True,"{""size"": ""A3"", ""gsm"": 160, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-07-24T10:33:55
PAPER-SRA3-100-CARDSTOCK-U,SRA3 Cardstock 100 gsm,"White cardstock paper, SRA3, 100 gsm, for office and print.",ream,7.37,528,True,"{""size"": ""SRA3"", ""gsm"": 100, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-10-14T18:00:15
PAPER-A5-80-UNCOATED,A5 Uncoated 80 gsm,"Bright White uncoated paper, A5, 80 gsm, for office and print.",ream,4.22,432,True,"{""size"": ""A5"", ""gsm"": 80, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-07-27T01:21:53
PAPER-SRA3-200-COPY,SRA3 Copy 200 gsm,"Ivory copy paper, SRA3, 200 gsm, for office and print.",box,49.77,213,True,"{""size"": ""SRA3"", ""gsm"": 200, ""finish"": ""Copy"", ""color"": ""Ivory""}",2025-05-14T09:04:31
PAPER-A4-170-COATEDGLOSS,A4 Coated Gloss 170 gsm,"Bright White coated gloss paper, A4, 170 gsm, for office and print.",ream,6.85,425,True,"{""size"": ""A4"", ""gsm"": 170, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-04-30T18:57:11
PAPER-SRA3-170-COATEDMATTE,SRA3 Coated Matte 170 gsm,"White coated matte paper, SRA3, 170 gsm, for office and print.",ream,9.89,457,True,"{""size"": ""SRA3"", ""gsm"": 170, ""finish"": ""Coated Matte"", ""color"": ""White""}",2025-09-27T22:34:37
PAPER-SRA3-90-COPY,SRA3 Copy 90 gsm,"Ivory copy paper, SRA3, 90 gsm, for office and print.",pallet,559.72,0,True,"{""size"": ""SRA3"", ""gsm"": 90, ""finish"": ""Copy"", ""color"": ""Ivory""}",2025-08-15T15:22:32
PAPER-A3-250-COATEDGLOSS-J,A3 Coated Gloss 250 gsm,"White coated gloss paper, A3, 250 gsm, for office and print.",ream,12.0,423,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-10-21T11:23:50
PAPER-A4-120-UNCOATED,A4 Uncoated 120 gsm,"Ivory uncoated paper, A4, 120 gsm, for office and print.",ream,5.78,408,True,"{""size"": ""A4"", ""gsm"": 120, ""finish"": ""Uncoated"", ""color"": ""Ivory""}",2025-08-28T13:08:11
PAPER-A3-170-UNCOATED,A3 Uncoated 170 gsm,"Recycled uncoated paper, A3, 170 gsm, for office and print.",ream,9.52,228,True,"{""size"": ""A3"", ""gsm"": 170, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-05-16T14:34:23
PAPER-A3-140-CARDSTOCK,A3 Cardstock 140 gsm,"Bright White cardstock paper, A3, 140 gsm, for office and print.",ream,8.37,453,True,"{""size"": ""A3"", ""gsm"": 140, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-05-12T16:44:32
PAPER-A3-250-COPY-Q,A3 Copy 250 gsm,"Bright White copy paper, A3, 250 gsm, for office and print.",ream,11.51,484,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-09-13T11:28:25
PAPER-A2-80-OFFSET-B,A2 Offset 80 gsm,"Bright White offset paper, A2, 80 gsm, for office and print.",ream,7.95,562,True,"{""size"": ""A2"", ""gsm"": 80, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-07-10T18:10:27
PAPER-A4-120-CARDSTOCK,A4 Cardstock 120 gsm,"Ivory cardstock paper, A4, 120 gsm, for office and print.",ream,6.45,558,True,"{""size"": ""A4"", ""gsm"": 120, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-05-14T21:18:13
PAPER-A4-250-UNCOATED,A4 Uncoated 250 gsm,"Recycled uncoated paper, A4, 250 gsm, for office and print.",ream,8.47,193,True,"{""size"": ""A4"", ""gsm"": 250, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-08-31T11:31:01
